ts_name;time;unit;value;class
SLFAL1;202004010000;Celsius;-2.4;0
SLFAL1;202004010100;Celsius;-2.4;0
SLFAL1;202004010200;Celsius;-3;0
SLFAL1;202004010300;Celsius;-2.3;0
SLFAL1;202004010400;Celsius;-1.7;0
SLFAL1;202004010500;Celsius;-2;0
SLFAL1;202004010600;Celsius;-1.1;0
SLFAL1;202004010700;Celsius;1.2;0
SLFAL1;202004010800;Celsius;1.5;0
SLFAL1;202004010900;Celsius;2.1;0
SLFAL1;202004011000;Celsius;1.9;0
SLFAL1;202004011100;Celsius;1;0
SLFAL1;202004011200;Celsius;1.2;0
SLFAL1;202004011300;Celsius;1.4;0
SLFAL1;202004011400;Celsius;2.4;0
SLFAL1;202004011500;Celsius;3.8;0
SLFAL1;202004011600;Celsius;3.9;0
SLFAL1;202004011700;Celsius;1.7;0
SLFAL1;202004011800;Celsius;0.8;0
SLFAL1;202004011900;Celsius;0.3;0
SLFAL1;202004012000;Celsius;0.2;0
SLFAL1;202004012100;Celsius;0.7;0
SLFAL1;202004012200;Celsius;0.5;0
SLFAL1;202004012300;Celsius;0.5;0
SLFAL1;202004020000;Celsius;0.2;0
SLFAL1;202004020100;Celsius;-0.1;0
SLFAL1;202004020200;Celsius;-0.4;0
SLFAL1;202004020300;Celsius;-0.7;0
SLFAL1;202004020400;Celsius;-1;0
SLFAL1;202004020500;Celsius;-1.2;0
SLFAL1;202004020600;Celsius;-1;0
SLFAL1;202004020700;Celsius;-0.8;0
SLFAL1;202004020800;Celsius;0.1;0
SLFAL1;202004020900;Celsius;0.3;0
SLFAL1;202004021000;Celsius;0.4;0
SLFAL1;202004021100;Celsius;2;0
SLFAL1;202004021200;Celsius;3;0
SLFAL1;202004021300;Celsius;3.4;0
SLFAL1;202004021400;Celsius;3.6;0
SLFAL1;202004021500;Celsius;4.1;0
SLFAL1;202004021600;Celsius;3;0
SLFAL1;202004021700;Celsius;2.3;0
SLFAL1;202004021800;Celsius;1.7;0
SLFAL1;202004021900;Celsius;1.2;0
SLFAL1;202004022000;Celsius;0.9;0
SLFAL1;202004022100;Celsius;0.3;0
SLFAL1;202004022200;Celsius;-0.3;0
SLFAL1;202004022300;Celsius;-0.6;0
SLFAL1;202004030000;Celsius;-0.9;0
SLFAL1;202004030100;Celsius;-1;0
SLFAL1;202004030200;Celsius;-0.8;0
SLFAL1;202004030300;Celsius;-1;0
SLFAL1;202004030400;Celsius;-1.2;0
SLFAL1;202004030500;Celsius;-1.3;0
SLFAL1;202004030600;Celsius;-1.1;0
SLFAL1;202004030700;Celsius;1.6;0
SLFAL1;202004030800;Celsius;1.7;0
SLFAL1;202004030900;Celsius;2;0
SLFAL1;202004031000;Celsius;3.7;0
SLFAL1;202004031100;Celsius;2.4;0
SLFAL1;202004031200;Celsius;2.6;0
SLFAL1;202004031300;Celsius;2.4;0
