label,time-stamp,x	
0,1,1228.8996
0,2,1846.7756
0,3,1174.6814
0,4,1530.3878
0,5,1995.5112
0,6,1747.6485
0,7,1932.3042
0,8,1445.8013
0,9,1867.1301
0,10,1067.1779
0,11,1041.7803
0,12,1779.9476
0,13,1144.2385
0,14,1322.8701
0,15,1072.1411
0,16,1804.3752
0,17,1514.8903
0,18,1182.2266
0,19,1004.5772
0,20,1572.7282
0,21,1719.2057
0,22,1566.6568
0,23,1859.1314
0,24,1240.3356
0,25,1948.4889
0,26,1297.7753
0,27,1196.2182
0,28,1118.7161
0,29,1702.5382
0,30,1168.1020
0,31,1090.2358
0,32,1394.0319
0,33,1788.2664
0,34,1472.2493
0,35,1177.3009
0,36,1026.1499
0,37,1458.5027
0,38,1786.0953
0,39,1741.1030
0,40,1709.3008
0,41,1012.4309
0,42,1389.1489
0,43,1795.9291
0,44,1184.8448
0,45,1026.1760
0,46,1302.9203
0,47,1185.1165
0,48,1933.9100
0,49,1748.2743
0,50,1494.6208
0,51,1164.8300
0,52,1823.6950
0,53,1676.7966
0,54,1770.8536
0,55,1477.2214
0,56,1369.6599
0,57,1284.4869
0,58,1022.0966
0,59,1696.9056
0,60,1461.6757
0,61,1820.2617
0,62,1647.4811
0,63,1136.0194
0,64,1789.6874
0,65,1378.3127
0,66,1874.9850
0,67,1011.2477
0,68,1167.9702
0,69,1446.4935
0,70,1082.3361
0,71,1848.0638
0,72,1189.7420
0,73,1290.7632
0,74,1784.4530
0,75,1100.1128
0,76,1915.8703
0,77,1253.2692
0,78,1569.8760
0,79,1160.0822
0,80,1725.0100
0,81,1840.4313
0,82,1595.2017
0,83,1000.9988
0,84,1050.0860
0,85,1256.5067
0,86,1703.3945
0,87,1837.4467
0,88,1323.5871
0,89,1683.6020
0,90,1836.7438
0,91,1291.9343
0,92,1468.6373
0,93,1929.3718
0,94,1394.2349
0,95,1080.3008
0,96,1727.8812
0,97,1485.0837
0,98,1536.1482
0,99,1279.8013
0,100,1531.2186
0,101,1195.6887
0,102,1248.8053
0,103,1922.7287
0,104,1449.1084
0,105,1399.2598
0,106,1487.0066
0,107,1060.7390
0,108,1947.0096
0,109,1120.5008
0,110,1904.2932
0,111,1576.5958
0,112,1456.5293
0,113,1821.3347
0,114,1066.6039
0,115,1360.2861
0,116,1016.9711
0,117,1430.1589
0,118,1415.8983
0,119,1749.7497
0,120,1653.5231
0,121,1858.7203
0,122,1756.8386
0,123,1256.0259
0,124,1733.1132
0,125,1484.6860
0,126,1280.8149
0,127,1090.7191
0,128,1943.7932
0,129,1507.8337
0,130,1831.9222
0,131,1466.6106
0,132,1935.8325
0,133,1427.7475
0,134,1885.5468
0,135,1946.1681
0,136,1306.9352
0,137,1984.8533
0,138,1127.7417
0,139,1876.5974
0,140,1182.1489
0,141,1286.4928
0,142,1915.1376
0,143,1313.5346
0,144,1687.9299
0,145,1469.3718
0,146,1767.6215
0,147,1708.6101
0,148,1881.9028
0,149,1445.9338
0,150,1628.0213
0,151,1500.4703
0,152,1126.7844
0,153,1872.5196
0,154,1460.3391
0,155,1083.4635
0,156,1576.0346
