label,time-stamp,x	
0,1,1223.6883
0,2,1593.8624
0,3,1158.0925
0,4,1552.5123
0,5,1378.7115
0,6,1189.0199
0,7,1552.2678
0,8,1105.9730
0,9,1042.5787
0,10,1668.4313
0,11,1747.1128
0,12,1569.5372
0,13,1067.4686
0,14,1119.2760
0,15,1613.7739
0,16,1628.0039
0,17,1900.6623
0,18,1274.7070
0,19,1647.2873
0,20,1658.5581
1,21,7.4762
0,22,1393.1726
0,23,1234.5692
0,24,1808.5598
0,25,1893.6101
0,26,1220.9678
0,27,1460.6755
0,28,1080.5031
0,29,1800.3087
0,30,1431.5519
0,31,1909.5657
0,32,1726.8311
0,33,1284.4828
0,34,1770.5513
0,35,1010.1764
0,36,1584.7348
0,37,1160.1405
0,38,1728.1305
0,39,1881.6509
0,40,1920.9512
0,41,1835.1237
0,42,1855.6436
0,43,1362.4148
0,44,1868.2032
0,45,1904.1746
0,46,1710.1682
0,47,1769.8819
0,48,1777.8642
0,49,1663.1178
0,50,1232.3145
0,51,1923.5899
0,52,1384.1678
0,53,1799.4736
0,54,1280.6541
0,55,1983.9835
0,56,1941.8349
0,57,1481.3245
0,58,1040.9737
0,59,1036.7934
0,60,1120.3528
0,61,1985.9891
0,62,1965.8887
0,63,1791.8728
0,64,1976.4004
0,65,1662.2528
0,66,1941.1358
0,67,1988.7898
0,68,1369.2258
0,69,1301.7371
0,70,1040.2546
0,71,1457.6311
0,72,1050.6259
0,73,1814.0496
0,74,1988.2861
0,75,1220.7996
0,76,1676.2607
0,77,1004.7556
0,78,1980.5784
0,79,1686.4501
0,80,1715.4831
0,81,1939.2471
0,82,1002.2154
0,83,1079.2727
0,84,1726.1219
0,85,1944.8640
0,86,1044.1072
0,87,1220.7545
0,88,1672.9136
0,89,1009.5338
0,90,1663.6915
0,91,1877.4894
0,92,1805.7975
1,93,1.0000
1,94,1.0000
0,95,1877.0436
0,96,1711.6433
0,97,1989.3877
0,98,1926.8657
0,99,1316.5104
0,100,1653.8777
0,101,1459.6897
0,102,1230.7953
0,103,1233.6691
0,104,1583.4597
0,105,1839.7572
1,106,5.3707
1,107,1.0000
1,108,1.0000
1,109,3.4713
0,110,1681.3853
0,111,1563.4189
0,112,1318.1410
0,113,1761.6730
0,114,1121.0373
0,115,1712.3064
0,116,1500.7019
0,117,1687.8582
0,118,1210.7894
0,119,1109.1083
0,120,1460.1827
0,121,1522.1247
0,122,1315.4006
0,123,1073.5936
0,124,1304.4423
0,125,1473.9577
0,126,1779.8385
0,127,1171.0804
0,128,1393.4920
0,129,1144.8134
0,130,1598.7746
0,131,1682.2873
0,132,1741.6133
0,133,1588.8294
0,134,1463.4827
0,135,1228.5009
0,136,1406.0238
0,137,1803.9622
0,138,1651.1626
0,139,1775.7516
0,140,1901.0854
0,141,1641.5895
0,142,1754.8324
0,143,1329.9614
0,144,1502.8552
0,145,1403.5447
0,146,1285.4035
0,147,1321.7647
0,148,1217.6075
0,149,1335.2429
0,150,1636.0615
0,151,1128.4800
0,152,1949.1661
0,153,1940.8825
0,154,1477.0025
0,155,1952.5177
0,156,1075.6956
0,157,1205.0563
0,158,1404.1758
0,159,1217.8674
0,160,1059.0931
0,161,1522.0606
0,162,1818.8293
0,163,1931.4569
0,164,1770.1440
