label,time-stamp,x	
1,1,7.5755
1,2,6.0625
1,3,8.6627
1,4,8.4717
1,5,4.4658
0,6,1269.6710
0,7,1894.3498
0,8,1678.7987
0,9,1554.2346
0,10,1166.5721
0,11,1460.3655
0,12,1018.1031
0,13,1734.9392
0,14,1929.4354
0,15,1380.4134
0,16,1955.8310
0,17,1285.8360
0,18,1552.8589
0,19,1717.0259
0,20,1786.2679
0,21,1380.8440
0,22,1407.7247
0,23,1311.4664
0,24,1572.4693
0,25,1219.2053
0,26,1277.7878
0,27,1335.2781
0,28,1089.2912
0,29,1658.7432
0,30,1461.7838
0,31,1065.0633
0,32,1114.7301
0,33,1633.1073
0,34,1232.2863
0,35,1979.5168
0,36,1782.0237
0,37,1529.7807
0,38,1161.4278
0,39,1360.9197
0,40,1501.3434
0,41,1021.1172
0,42,1194.8880
0,43,1380.8321
0,44,1665.3403
0,45,1778.0450
0,46,1628.1148
0,47,1976.8562
0,48,1404.1248
0,49,1714.9632
0,50,1490.4489
0,51,1549.6030
0,52,1717.3701
0,53,1981.6083
0,54,1285.0896
0,55,1077.9811
0,56,1558.5948
0,57,1425.8716
0,58,1773.0879
0,59,1720.3984
0,60,1144.9753
0,61,1890.3257
0,62,1148.8538
0,63,1150.5915
0,64,1398.4669
0,65,1121.2798
0,66,1181.9499
0,67,1184.6168
0,68,1572.3828
0,69,1455.2821
0,70,1087.0844
0,71,1720.8610
0,72,1652.6757
0,73,1052.7860
0,74,1156.8355
0,75,1674.5344
0,76,1121.4109
0,77,1265.1233
0,78,1274.9760
0,79,1234.5107
0,80,1787.2710
0,81,1924.6388
0,82,1094.0483
0,83,1857.5977
0,84,1730.3605
0,85,1565.2447
0,86,1807.6961
0,87,1873.5603
0,88,1949.4790
0,89,1710.1721
0,90,1418.3988
0,91,1042.0215
0,92,1512.3772
0,93,1320.7456
0,94,1556.8686
0,95,1065.3818
0,96,1744.6576
0,97,1641.7169
0,98,1562.6897
0,99,1824.5421
0,100,1459.9447
0,101,1275.3734
0,102,1689.3751
0,103,1707.7174
0,104,1459.5700
0,105,1906.6460
0,106,1493.2379
0,107,1973.0603
0,108,1670.3063
0,109,1806.6786
0,110,1783.1801
0,111,1765.9053
0,112,1624.7958
0,113,1266.5642
0,114,1673.4085
0,115,1600.0500
0,116,1326.9100
0,117,1098.0150
0,118,1474.4781
0,119,1190.3077
0,120,1524.9362
0,121,1954.1416
0,122,1655.7525
0,123,1263.4511
0,124,1409.0303
0,125,1822.9931
0,126,1077.2118
0,127,1087.0834
0,128,1915.5342
0,129,1309.4293
0,130,1043.2381
0,131,1437.2381
0,132,1611.2758
0,133,1580.3049
0,134,1651.5273
0,135,1430.4569
0,136,1653.3256
0,137,1587.8488
0,138,1064.8093
0,139,1552.2640
0,140,1599.8296
0,141,1501.7434
0,142,1404.2224
0,143,1031.4237
0,144,1852.6020
0,145,1218.0795
0,146,1465.9960
0,147,1916.3288
0,148,1933.8341
0,149,1296.0477
0,150,1950.0612
0,151,1856.5449
0,152,1115.9691
0,153,1477.9381
0,154,1385.1148
0,155,1653.2398
0,156,1393.9719
0,157,1796.6731
