ts_name;time;unit;value;class
TS13;2020-04-01T18:42:00.000;Value;10813;0
TS13;2020-04-01T18:43:00.000;Value;11392;0
TS13;2020-04-01T18:44:00.000;Value;11097;0
TS13;2020-04-01T18:45:00.000;Value;10153;0
TS13;2020-04-01T18:46:00.000;Value;8897;0
TS13;2020-04-01T18:47:00.000;Value;7222;0
TS13;2020-04-01T18:48:00.000;Value;6181;0
TS13;2020-04-01T18:49:00.000;Value;5069;0
TS13;2020-04-01T18:50:00.000;Value;4630;0
TS13;2020-04-01T18:51:00.000;Value;4317;0
TS13;2020-04-01T18:52:00.000;Value;5125;0
TS13;2020-04-01T18:53:00.000;Value;6823;0
TS13;2020-04-01T18:54:00.000;Value;8798;0
TS13;2020-04-01T18:55:00.000;Value;9957;0
TS13;2020-04-01T18:56:00.000;Value;10781;0
TS13;2020-04-01T18:57:00.000;Value;11100;0
TS13;2020-04-01T18:58:00.000;Value;10802;0
TS13;2020-04-01T18:59:00.000;Value;10999;0
TS13;2020-04-01T19:00:00.000;Value;10261;0
TS13;2020-04-01T19:01:00.000;Value;10433;0
TS13;2020-04-01T19:02:00.000;Value;10494;0
TS13;2020-04-01T19:03:00.000;Value;10321;0
TS13;2020-04-01T19:04:00.000;Value;10460;0
TS13;2020-04-01T19:05:00.000;Value;9995;0
TS13;2020-04-01T19:06:00.000;Value;9929;0
TS13;2020-04-01T19:07:00.000;Value;9576;0
TS13;2020-04-01T19:08:00.000;Value;9593;0
TS13;2020-04-01T19:09:00.000;Value;9347;0
TS13;2020-04-01T19:10:00.000;Value;8116;0
TS13;2020-04-01T19:11:00.000;Value;6498;0
TS13;2020-04-01T19:12:00.000;Value;5589;0
TS13;2020-04-01T19:13:00.000;Value;4671;0
TS13;2020-04-01T19:14:00.000;Value;4181;0
TS13;2020-04-01T19:15:00.000;Value;3955;0
TS13;2020-04-01T19:16:00.000;Value;4031;0
TS13;2020-04-01T19:17:00.000;Value;4888;0
TS13;2020-04-01T19:18:00.000;Value;6666;0
TS13;2020-04-01T19:19:00.000;Value;8468;0
TS13;2020-04-01T19:20:00.000;Value;9652;0
TS13;2020-04-01T19:21:00.000;Value;9956;0
TS13;2020-04-01T19:22:00.000;Value;9772;0
TS13;2020-04-01T19:23:00.000;Value;9709;0
TS13;2020-04-01T19:24:00.000;Value;9338;0
TS13;2020-04-01T19:25:00.000;Value;9031;0
TS13;2020-04-01T19:26:00.000;Value;8756;0
TS13;2020-04-01T19:27:00.000;Value;8633;0
TS13;2020-04-01T19:28:00.000;Value;8587;0
TS13;2020-04-01T19:29:00.000;Value;8073;0
TS13;2020-04-01T19:30:00.000;Value;7920;0
TS13;2020-04-01T19:31:00.000;Value;7869;0
TS13;2020-04-01T19:32:00.000;Value;8184;0
TS13;2020-04-01T19:33:00.000;Value;7889;0
TS13;2020-04-01T19:34:00.000;Value;6978;0
TS13;2020-04-01T19:35:00.000;Value;6003;0
TS13;2020-04-01T19:36:00.000;Value;5114;0
TS13;2020-04-01T19:37:00.000;Value;4581;0
TS13;2020-04-01T19:38:00.000;Value;4128;0
TS13;2020-04-01T19:39:00.000;Value;3972;0
TS13;2020-04-01T19:40:00.000;Value;4175;0
TS13;2020-04-01T19:41:00.000;Value;4689;0
TS13;2020-04-01T19:42:00.000;Value;6218;0
TS13;2020-04-01T19:43:00.000;Value;7878;0
TS13;2020-04-01T19:44:00.000;Value;9151;0
TS13;2020-04-01T19:45:00.000;Value;9567;0
TS13;2020-04-01T19:46:00.000;Value;9578;0
TS13;2020-04-01T19:47:00.000;Value;9449;0
TS13;2020-04-01T19:48:00.000;Value;9201;0
TS13;2020-04-01T19:49:00.000;Value;9463;0
TS13;2020-04-01T19:50:00.000;Value;9311;0
TS13;2020-04-01T19:51:00.000;Value;9151;0
TS13;2020-04-01T19:52:00.000;Value;8675;0
TS13;2020-04-01T19:53:00.000;Value;8688;0
TS13;2020-04-01T19:54:00.000;Value;8936;0
TS13;2020-04-01T19:55:00.000;Value;9364;0
TS13;2020-04-01T19:56:00.000;Value;9081;0
TS13;2020-04-01T19:57:00.000;Value;8402;0
TS13;2020-04-01T19:58:00.000;Value;7043;0
TS13;2020-04-01T19:59:00.000;Value;5973;0
TS13;2020-04-01T20:00:00.000;Value;5234;0
TS13;2020-04-01T20:01:00.000;Value;5669;0
TS13;2020-04-01T20:02:00.000;Value;5142;0
TS13;2020-04-01T20:03:00.000;Value;4897;0
TS13;2020-04-01T20:04:00.000;Value;5537;0
TS13;2020-04-01T20:05:00.000;Value;7149;0
TS13;2020-04-01T20:06:00.000;Value;9097;0
TS13;2020-04-01T20:07:00.000;Value;10757;0
TS13;2020-04-01T20:08:00.000;Value;12010;0
TS13;2020-04-01T20:09:00.000;Value;12498;0
TS13;2020-04-01T20:10:00.000;Value;12824;0
TS13;2020-04-01T20:11:00.000;Value;12838;0
TS13;2020-04-01T20:12:00.000;Value;12682;0
TS13;2020-04-01T20:13:00.000;Value;11937;0
TS13;2020-04-01T20:14:00.000;Value;12037;0
TS13;2020-04-01T20:15:00.000;Value;12083;0
TS13;2020-04-01T20:16:00.000;Value;12014;0
TS13;2020-04-01T20:17:00.000;Value;11981;0
TS13;2020-04-01T20:18:00.000;Value;12135;0
TS13;2020-04-01T20:19:00.000;Value;12359;0
TS13;2020-04-01T20:20:00.000;Value;12574;0
TS13;2020-04-01T20:21:00.000;Value;11417;0
TS13;2020-04-01T20:22:00.000;Value;9791;0
TS13;2020-04-01T20:23:00.000;Value;8298;0
TS13;2020-04-01T20:24:00.000;Value;6743;0
TS13;2020-04-01T20:25:00.000;Value;5713;0
TS13;2020-04-01T20:26:00.000;Value;5177;0
TS13;2020-04-01T20:27:00.000;Value;5102;0
TS13;2020-04-01T20:28:00.000;Value;5723;0
TS13;2020-04-01T20:29:00.000;Value;7427;0
TS13;2020-04-01T20:30:00.000;Value;9136;0
TS13;2020-04-01T20:31:00.000;Value;10514;0
TS13;2020-04-01T20:32:00.000;Value;11731;0
TS13;2020-04-01T20:33:00.000;Value;11736;0
TS13;2020-04-01T20:34:00.000;Value;12132;0
TS13;2020-04-01T20:35:00.000;Value;11736;0
TS13;2020-04-01T20:36:00.000;Value;11450;0
TS13;2020-04-01T20:37:00.000;Value;11348;0
TS13;2020-04-01T20:38:00.000;Value;12107;0
TS13;2020-04-01T20:39:00.000;Value;12543;0
TS13;2020-04-01T20:40:00.000;Value;11104;0
TS13;2020-04-01T20:41:00.000;Value;11489;0
TS13;2020-04-01T20:42:00.000;Value;11572;0
TS13;2020-04-01T20:43:00.000;Value;12143;0
TS13;2020-04-01T20:44:00.000;Value;12351;0
TS13;2020-04-01T20:45:00.000;Value;11157;0
TS13;2020-04-01T20:46:00.000;Value;9373;0
TS13;2020-04-01T20:47:00.000;Value;7762;0
TS13;2020-04-01T20:48:00.000;Value;6629;0
TS13;2020-04-01T20:49:00.000;Value;6099;0
TS13;2020-04-01T20:50:00.000;Value;5256;0
TS13;2020-04-01T20:51:00.000;Value;5075;0
TS13;2020-04-01T20:52:00.000;Value;5459;0
TS13;2020-04-01T20:53:00.000;Value;6913;0
TS13;2020-04-01T20:54:00.000;Value;8929;0
TS13;2020-04-01T20:55:00.000;Value;10267;0
TS13;2020-04-01T20:56:00.000;Value;11179;0
TS13;2020-04-01T20:57:00.000;Value;11562;0
TS13;2020-04-01T20:58:00.000;Value;11498;0
TS13;2020-04-01T20:59:00.000;Value;11637;0
TS13;2020-04-01T21:00:00.000;Value;11361;0
TS13;2020-04-01T21:01:00.000;Value;10468;0
TS13;2020-04-01T21:02:00.000;Value;10566;0
TS13;2020-04-01T21:03:00.000;Value;11084;0
TS13;2020-04-01T21:04:00.000;Value;10916;0
TS13;2020-04-01T21:05:00.000;Value;11436;0
TS13;2020-04-01T21:06:00.000;Value;11515;0
TS13;2020-04-01T21:07:00.000;Value;12083;0
TS13;2020-04-01T21:08:00.000;Value;12261;0
TS13;2020-04-01T21:09:00.000;Value;11418;0
TS13;2020-04-01T21:10:00.000;Value;9898;0
TS13;2020-04-01T21:11:00.000;Value;8434;0
TS13;2020-04-01T21:12:00.000;Value;7067;0
TS13;2020-04-01T21:13:00.000;Value;6040;0
TS13;2020-04-01T21:14:00.000;Value;5293;0
TS13;2020-04-01T21:15:00.000;Value;5266;0
TS13;2020-04-01T21:16:00.000;Value;6083;0
TS13;2020-04-01T21:17:00.000;Value;7676;0
TS13;2020-04-01T21:18:00.000;Value;9711;0
TS13;2020-04-01T21:19:00.000;Value;11486;0
TS13;2020-04-01T21:20:00.000;Value;12887;0
TS13;2020-04-01T21:21:00.000;Value;13049;0
TS13;2020-04-01T21:22:00.000;Value;13092;0
TS13;2020-04-01T21:23:00.000;Value;13388;0
TS13;2020-04-01T21:24:00.000;Value;12892;0
TS13;2020-04-01T21:25:00.000;Value;12399;0
TS13;2020-04-01T21:26:00.000;Value;12267;0
TS13;2020-04-01T21:27:00.000;Value;12504;0
TS13;2020-04-01T21:28:00.000;Value;12317;0
TS13;2020-04-01T21:29:00.000;Value;12477;0
TS13;2020-04-01T21:30:00.000;Value;12396;0
TS13;2020-04-01T21:31:00.000;Value;12797;0
TS13;2020-04-01T21:32:00.000;Value;12768;0
TS13;2020-04-01T21:33:00.000;Value;12033;0
TS13;2020-04-01T21:34:00.000;Value;10140;0
TS13;2020-04-01T21:35:00.000;Value;8285;0
TS13;2020-04-01T21:36:00.000;Value;7148;0
TS13;2020-04-01T21:37:00.000;Value;5492;0
TS13;2020-04-01T21:38:00.000;Value;5043;0
TS13;2020-04-01T21:39:00.000;Value;4900;0
TS13;2020-04-01T21:40:00.000;Value;5328;0
TS13;2020-04-01T21:41:00.000;Value;6973;0
TS13;2020-04-01T21:42:00.000;Value;8853;0
TS13;2020-04-01T21:43:00.000;Value;10266;0
TS13;2020-04-01T21:44:00.000;Value;11168;0
TS13;2020-04-01T21:45:00.000;Value;11436;0
TS13;2020-04-01T21:46:00.000;Value;11343;0
TS13;2020-04-01T21:47:00.000;Value;11197;0
TS13;2020-04-01T21:48:00.000;Value;10615;0
TS13;2020-04-01T21:49:00.000;Value;10625;0
TS13;2020-04-01T21:50:00.000;Value;10690;0
TS13;2020-04-01T21:51:00.000;Value;10775;0
TS13;2020-04-01T21:52:00.000;Value;10773;0
TS13;2020-04-01T21:53:00.000;Value;10489;0
TS13;2020-04-01T21:54:00.000;Value;10419;0
TS13;2020-04-01T21:55:00.000;Value;10369;0
TS13;2020-04-01T21:56:00.000;Value;10525;0
TS13;2020-04-01T21:57:00.000;Value;10060;0
